Input SW: 00000000 | HEX0: 1000000 | HEX1: 1000000
Input SW: 00000001 | HEX0: 1111001 | HEX1: 1000000
Input SW: 00000010 | HEX0: 0100100 | HEX1: 1000000
Input SW: 00000011 | HEX0: 0110000 | HEX1: 1000000
Input SW: 00000100 | HEX0: 0011001 | HEX1: 1000000
Input SW: 00000101 | HEX0: 0010010 | HEX1: 1000000
Input SW: 00000110 | HEX0: 0000010 | HEX1: 1000000
Input SW: 00000111 | HEX0: 1111000 | HEX1: 1000000
Input SW: 00001000 | HEX0: 0000000 | HEX1: 1000000
Input SW: 00001001 | HEX0: 0010000 | HEX1: 1000000
Input SW: 00001010 | HEX0: 1111111 | HEX1: 1000000
Input SW: 00001011 | HEX0: 1111111 | HEX1: 1000000
Input SW: 00001100 | HEX0: 1111111 | HEX1: 1000000
Input SW: 00001101 | HEX0: 1111111 | HEX1: 1000000
Input SW: 00001110 | HEX0: 1111111 | HEX1: 1000000
Input SW: 00001111 | HEX0: 1111111 | HEX1: 1000000
Input SW: 00010000 | HEX0: 1000000 | HEX1: 1111001
Input SW: 00010001 | HEX0: 1111001 | HEX1: 1111001
Input SW: 00010010 | HEX0: 0100100 | HEX1: 1111001
Input SW: 00010011 | HEX0: 0110000 | HEX1: 1111001
Input SW: 00010100 | HEX0: 0011001 | HEX1: 1111001
Input SW: 00010101 | HEX0: 0010010 | HEX1: 1111001
Input SW: 00010110 | HEX0: 0000010 | HEX1: 1111001
Input SW: 00010111 | HEX0: 1111000 | HEX1: 1111001
Input SW: 00011000 | HEX0: 0000000 | HEX1: 1111001
Input SW: 00011001 | HEX0: 0010000 | HEX1: 1111001
Input SW: 00011010 | HEX0: 1111111 | HEX1: 1111001
Input SW: 00011011 | HEX0: 1111111 | HEX1: 1111001
Input SW: 00011100 | HEX0: 1111111 | HEX1: 1111001
Input SW: 00011101 | HEX0: 1111111 | HEX1: 1111001
Input SW: 00011110 | HEX0: 1111111 | HEX1: 1111001
Input SW: 00011111 | HEX0: 1111111 | HEX1: 1111001
Input SW: 00100000 | HEX0: 1000000 | HEX1: 0100100
Input SW: 00100001 | HEX0: 1111001 | HEX1: 0100100
Input SW: 00100010 | HEX0: 0100100 | HEX1: 0100100
Input SW: 00100011 | HEX0: 0110000 | HEX1: 0100100
Input SW: 00100100 | HEX0: 0011001 | HEX1: 0100100
Input SW: 00100101 | HEX0: 0010010 | HEX1: 0100100
Input SW: 00100110 | HEX0: 0000010 | HEX1: 0100100
Input SW: 00100111 | HEX0: 1111000 | HEX1: 0100100
Input SW: 00101000 | HEX0: 0000000 | HEX1: 0100100
Input SW: 00101001 | HEX0: 0010000 | HEX1: 0100100
Input SW: 00101010 | HEX0: 1111111 | HEX1: 0100100
Input SW: 00101011 | HEX0: 1111111 | HEX1: 0100100
Input SW: 00101100 | HEX0: 1111111 | HEX1: 0100100
Input SW: 00101101 | HEX0: 1111111 | HEX1: 0100100
Input SW: 00101110 | HEX0: 1111111 | HEX1: 0100100
Input SW: 00101111 | HEX0: 1111111 | HEX1: 0100100
Input SW: 00110000 | HEX0: 1000000 | HEX1: 0110000
Input SW: 00110001 | HEX0: 1111001 | HEX1: 0110000
Input SW: 00110010 | HEX0: 0100100 | HEX1: 0110000
