A = 0000  B = 0000  cin = U  SUM = 000U  cout = 0
A = 0000  B = 0000  cin = 0  SUM = 0000  cout = 0
A = 0000  B = 0001  cin = 1  SUM = 0010  cout = 0
A = 0000  B = 0001  cin = 0  SUM = 0001  cout = 0
A = 0000  B = 0010  cin = 1  SUM = 0011  cout = 0
A = 0000  B = 0010  cin = 0  SUM = 0010  cout = 0
A = 0000  B = 0011  cin = 1  SUM = 0100  cout = 0
A = 0000  B = 0011  cin = 0  SUM = 0011  cout = 0
A = 0000  B = 0100  cin = 1  SUM = 0101  cout = 0
A = 0000  B = 0100  cin = 0  SUM = 0100  cout = 0
A = 0000  B = 0101  cin = 1  SUM = 0110  cout = 0
A = 0000  B = 0101  cin = 0  SUM = 0101  cout = 0
A = 0000  B = 0110  cin = 1  SUM = 0111  cout = 0
A = 0000  B = 0110  cin = 0  SUM = 0110  cout = 0
A = 0000  B = 0111  cin = 1  SUM = 1000  cout = 0
A = 0000  B = 0111  cin = 0  SUM = 0111  cout = 0
A = 0000  B = 1000  cin = 1  SUM = 1001  cout = 0
A = 0000  B = 1000  cin = 0  SUM = 1000  cout = 0
A = 0000  B = 1001  cin = 1  SUM = 1010  cout = 0
A = 0000  B = 1001  cin = 0  SUM = 1001  cout = 0
A = 0000  B = 1010  cin = 1  SUM = 1011  cout = 0
A = 0000  B = 1010  cin = 0  SUM = 1010  cout = 0
A = 0000  B = 1011  cin = 1  SUM = 1100  cout = 0
A = 0000  B = 1011  cin = 0  SUM = 1011  cout = 0
A = 0000  B = 1100  cin = 1  SUM = 1101  cout = 0
A = 0000  B = 1100  cin = 0  SUM = 1100  cout = 0
A = 0000  B = 1101  cin = 1  SUM = 1110  cout = 0
A = 0000  B = 1101  cin = 0  SUM = 1101  cout = 0
A = 0000  B = 1110  cin = 1  SUM = 1111  cout = 0
A = 0000  B = 1110  cin = 0  SUM = 1110  cout = 0
A = 0000  B = 1111  cin = 1  SUM = 0000  cout = 1
A = 0000  B = 1111  cin = 0  SUM = 1111  cout = 0
A = 0001  B = 0000  cin = 1  SUM = 0010  cout = 0
A = 0001  B = 0000  cin = 0  SUM = 0001  cout = 0
A = 0001  B = 0001  cin = 1  SUM = 0011  cout = 0
